year_aired,imdb,monster_real,title,suspects_amount
2013,7.3,fake,Scooby-Doo! and the Spooky Scarecrow,9
2013,6.5,fake,Scooby-Doo! Mecha Mutt Menace,4
2014,6.3,fake,Scooby-Doo! Wrestlemania Mystery,9
2014,6.6,fake,Scooby-Doo! Ghastly Goals!,5
2014,6.7,fake,Scooby-Doo! Frankencreepy,6
2015,6.5,fake,Scooby-Doo! Moon Monster Madness,8
2015,7.1,fake,Scooby-Doo! and the Beach Beastie,4
2015,6.5,real,Scooby-Doo! KISS: Rock and Roll Mystery,6
2015,7.9,fake,Mystery 101,3
2015,7.2,fake,Game of Chicken,3
2015,7.4,fake,All Pawns on Deck,4
2015,7.3,fake,Poodle Justice,4
2015,7.3,fake,Grand Scam,3
2015,7.6,fake,Trading Chase,3
2015,7.5,fake,"Be Quiet, Scooby-Doo!",2
2015,8.2,fake,Party Like It's 1899,5
2015,7.4,fake,Screama Donna,4
2015,7.5,fake,Kitchen Frightmare,3
2015,7.5,fake,"Me, Myself, and A.I.",3
2015,7.4,fake,Area 51 Adjacent,2
2015,7.5,fake,"Where There's a Will, There's a Wraith",4
2015,6.6,fake,Scooby-Doo! Knight Time Terror,6
2015,7.4,fake,Scary Christmas,4
2015,7.7,fake,"If You Can't Scooby-Doo the Time,Don't Scooby-Doo the Crime",2
2016,7.8,fake,Gremlin on a Plane,3
2016,7.9,fake,Sorcerer Snacks Scare,4
2016,8.2,fake,Saga of the Swamp Beast,3
2016,7.5,fake,"Be Cold, Scooby-Doo!",3
2016,5.9,fake,LEGO Scooby-Doo! Haunted Hollywood,5
2016,7.4,fake,Giant Problems,3
2016,7.4,fake,Eating Crow,4
2016,6.2,fake,Scooby-Doo! and WWE: Curse of the Speed Demon,20
2017,6.8,fake,Scooby-Doo! Shaggy's Showdown,15
2017,7.2,fake,I Scooby Dooby Do,4
2017,7.6,fake,El Bandito,3
2017,7.2,fake,Into the Mouth Madcap,4
2017,7.3,fake,The Norse Case Scenario,6
2017,7.7,fake,The People vs. Fred Jones,3
2017,5.6,fake,LEGO Scooby-Doo! Blowout Beach Bash,9
2017,8.2,fake,Some Fred Time,3
2017,7.5,fake,There Wolf,3
2017,7.4,fake,Renn Scare,3
2017,7.6,fake,How to Train Your Coward,3
2017,7.1,fake,Worst in Show,4
2017,7.5,fake,Mysteries on the Disorient Express,4
2017,7.4,fake,Halloween,3
2017,7.5,fake,The Curse of Kaniaku,4
2017,6.6,fake,Vote Velma,5
2017,7.7,fake,Scroogey Doo,4
2017,8,fake,In Space,3
2017,7.9,fake,Doo Not Distrub,2
2017,7.4,fake,Silver Scream,5
2017,7.2,fake,Fright of Hand,3
2017,6.7,fake,Greece in the World,4
2018,6.6,fake,Batman: The Brave and the Bold: Bat-Mite Presents: Batman's Strangest Cases!,15
2018,7.1,fake,American Goth,4
2018,7.2,fake,Omelettes Are Forever,4
2018,7.4,fake,Ghost in the Mystery Machine,4
2018,7.4,fake,Naughty or Ice,3
2018,7.3,fake,Night of the Upsetting Shorts,5
2018,6.9,fake,Junkyard Dogs,3
2018,6.7,fake,Protein Titans 2,4
2018,6.9,fake,World of Witchcraft,4
2018,7.8,fake,Professor Huh? Part 1,5
2018,7.9,fake,Professor Huh? Part 6 3/4,3
2018,6.8,fake,Pizza O'Possumm's,3
2018,6.8,fake,The Curse of Half-Beard's Booty,3
2018,9.6,real,Scoobynatural,6
